,0
896,795000
897,796000
898,797000
899,798000
900,799000
901,800000
902,801000
903,802000
904,803000
905,804000
906,805000
907,806000
908,807000
909,808000
910,809000
911,467000
912,468000
913,469000
914,470000
915,471000
916,472000
917,777000
918,778000
919,779000
920,780000
921,781000
922,782000
923,783000
924,784000
925,785000
926,786000
927,787000
928,788000
929,789000
930,790000
931,791000
932,792000
933,793000
934,794000
935,795000
936,796000
937,797000
938,798000
939,799000
940,800000
941,801000
942,802000
943,803000
944,804000
945,805000
946,806000
947,807000
948,808000
949,809000
950,467000
951,468000
952,469000
953,470000
954,471000
955,778000
956,779000
957,780000
958,781000
959,782000
960,783000
961,784000
962,785000
963,786000
964,787000
965,788000
966,789000
967,790000
968,791000
969,792000
970,793000
971,794000
972,795000
973,796000
974,797000
975,798000
976,799000
977,800000
978,801000
979,802000
980,803000
981,804000
982,805000
983,806000
984,807000
985,808000
986,809000
987,467000
988,468000
989,469000
990,470000
991,471000
992,778000
993,779000
994,780000
995,781000
996,782000
997,783000
998,784000
999,785000
1000,786000
1001,787000
1002,788000
1003,789000
1004,790000
1005,791000
1006,792000
1007,793000
1008,794000
1009,795000
1010,796000
1011,797000
1012,798000
1013,799000
1014,800000
1015,801000
1016,802000
1017,803000
1018,804000
1019,805000
1020,806000
1021,807000
1022,808000
1023,809000
1024,467000
1025,468000
1026,469000
1027,470000
1028,471000
1029,779000
1030,780000
1031,781000
1032,782000
1033,783000
1034,784000
1035,785000
1036,786000
1037,787000
1038,788000
1039,789000
1040,790000
1041,791000
1042,792000
1043,793000
1044,794000
1045,795000
1046,796000
1047,797000
1048,798000
1049,799000
1050,800000
1051,801000
1052,802000
1053,803000
1054,804000
1055,805000
1056,806000
1057,807000
1058,808000
1059,809000
1060,467000
1061,468000
1062,469000
1063,470000
1064,779000
1065,780000
1066,781000
1067,782000
1068,783000
1069,784000
1070,785000
1071,786000
1072,787000
1073,788000
1074,789000
1075,790000
1076,791000
1077,792000
1078,793000
1079,794000
1080,795000
1081,796000
1082,797000
1083,798000
1084,799000
1085,800000
1086,801000
1087,802000
1088,803000
1089,804000
1090,805000
1091,806000
1092,807000
1093,808000
1094,809000
1095,467000
1096,468000
1097,469000
1098,780000
1099,781000
1100,782000
1101,783000
1102,784000
1103,785000
1104,786000
1105,787000
1106,788000
1107,789000
1108,790000
1109,791000
1110,792000
1111,793000
1112,794000
1113,795000
1114,796000
1115,797000
1116,798000
1117,799000
1118,800000
1119,801000
1120,802000
1121,803000
1122,804000
1123,805000
1124,806000
1125,807000
1126,808000
1127,809000
1128,467000
1129,468000
1130,469000
1131,781000
1132,782000
1133,783000
1134,784000
1135,785000
1136,786000
1137,787000
1138,788000
1139,789000
1140,790000
1141,791000
1142,792000
1143,793000
1144,794000
1145,795000
1146,796000
1147,797000
1148,798000
1149,799000
1150,800000
1151,801000
1152,802000
1153,803000
1154,804000
1155,805000
1156,806000
1157,807000
1158,808000
1159,809000
1160,467000
1161,468000
1162,469000
1163,781000
1164,782000
1165,783000
1166,784000
1167,785000
1168,786000
1169,787000
1170,788000
1171,789000
1172,790000
1173,791000
1174,792000
1175,793000
1176,794000
1177,795000
1178,796000
1179,797000
1180,798000
1181,799000
1182,800000
1183,801000
1184,802000
1185,803000
1186,804000
1187,805000
1188,806000
1189,807000
1190,808000
